name,time,tem
BK,2020-03-09T07:35:00.616360,22.0625
AUX,2020-03-09T07:35:01.554547,26.875
MT,2020-03-09T07:35:02.513930,24.5625
HLT,2020-03-09T07:35:03.471874,24.6875
BK,2020-03-09T07:35:05.355302,22.0625
AUX,2020-03-09T07:35:06.275626,26.875
MT,2020-03-09T07:35:07.232480,24.5625
HLT,2020-03-09T07:35:08.193967,24.625
BK,2020-03-09T07:35:10.154010,22.0
AUX,2020-03-09T07:35:11.075750,26.875
MT,2020-03-09T07:35:12.031810,24.5625
HLT,2020-03-09T07:35:12.912264,24.6875
BK,2020-03-09T07:35:14.872184,22.0625
AUX,2020-03-09T07:35:15.814722,26.875
MT,2020-03-09T07:35:16.753480,24.5625
HLT,2020-03-09T07:35:17.711755,24.6875
BK,2020-03-09T07:35:19.594596,22.0
AUX,2020-03-09T07:35:20.513533,26.875
MT,2020-03-09T07:35:21.471997,24.5625
HLT,2020-03-09T07:35:22.431206,24.6875
BK,2020-03-09T07:35:24.316474,22.0
AUX,2020-03-09T07:35:25.288174,26.875
MT,2020-03-09T07:35:26.327169,24.5625
HLT,2020-03-09T07:35:27.260239,24.6875
BK,2020-03-09T07:35:29.223558,22.0
AUX,2020-03-09T07:35:30.140095,26.875
MT,2020-03-09T07:35:31.122096,24.625
HLT,2020-03-09T07:35:32.052924,24.75
BK,2020-03-09T07:35:33.997155,22.0625
AUX,2020-03-09T07:35:34.912638,26.875
MT,2020-03-09T07:35:35.874983,24.625
HLT,2020-03-09T07:35:36.911878,24.75
BK,2020-03-09T07:35:38.874670,22.0625
AUX,2020-03-09T07:35:39.795585,26.9375
MT,2020-03-09T07:35:40.754076,24.6875
HLT,2020-03-09T07:35:41.752976,24.6875
BK,2020-03-09T07:35:43.674665,22.0625
AUX,2020-03-09T07:35:44.592287,27.0
MT,2020-03-09T07:35:45.553786,24.6875
HLT,2020-03-09T07:35:46.512473,24.75
BK,2020-03-09T07:35:48.476291,22.0
AUX,2020-03-09T07:35:49.395179,27.0625
MT,2020-03-09T07:35:50.354522,24.625
HLT,2020-03-09T07:35:51.313096,24.8125
BK,2020-03-09T07:35:53.274743,22.0625
AUX,2020-03-09T07:35:54.192577,27.125
MT,2020-03-09T07:35:55.151541,24.6875
HLT,2020-03-09T07:35:56.101087,24.8125
BK,2020-03-09T07:35:58.037600,22.0625
AUX,2020-03-09T07:35:59.025665,27.1875
MT,2020-03-09T07:35:59.985355,24.75
HLT,2020-03-09T07:36:00.940751,24.8125
BK,2020-03-09T07:36:02.875610,22.0
AUX,2020-03-09T07:36:03.790963,27.25
MT,2020-03-09T07:36:05.554005,24.6875
HLT,2020-03-09T07:36:06.512258,24.875
BK,2020-03-09T07:36:09.354647,22.0
AUX,2020-03-09T07:36:10.272996,27.3125
MT,2020-03-09T07:36:11.236600,24.75
HLT,2020-03-09T07:36:12.192827,24.9375
BK,2020-03-09T07:36:14.155030,22.0
AUX,2020-03-09T07:36:15.092566,27.375
MT,2020-03-09T07:36:16.034480,24.8125
HLT,2020-03-09T07:36:16.992472,25.0
BK,2020-03-09T07:36:18.954777,22.0625
AUX,2020-03-09T07:36:19.872009,27.375
MT,2020-03-09T07:36:20.836195,24.75
HLT,2020-03-09T07:36:21.794407,25.0
BK,2020-03-09T07:36:23.754571,22.0
AUX,2020-03-09T07:36:24.671997,27.4375
MT,2020-03-09T07:36:25.554524,24.8125
HLT,2020-03-09T07:36:26.512761,25.0625
BK,2020-03-09T07:36:28.475890,22.0
AUX,2020-03-09T07:36:29.392560,27.4375
MT,2020-03-09T07:36:30.356040,24.8125
HLT,2020-03-09T07:36:31.312990,25.125
BK,2020-03-09T07:36:33.275572,22.0625
AUX,2020-03-09T07:36:34.212452,27.5
MT,2020-03-09T07:36:36.116041,24.875
HLT,2020-03-09T07:36:37.072583,25.1875
BK,2020-03-09T07:36:39.035124,22.0625
AUX,2020-03-09T07:36:39.951979,27.5625
MT,2020-03-09T07:36:40.913542,24.875
HLT,2020-03-09T07:36:41.872777,25.25
BK,2020-03-09T07:36:43.834648,22.0
AUX,2020-03-09T07:36:44.754494,27.625
MT,2020-03-09T07:36:45.713391,24.9375
HLT,2020-03-09T07:36:46.672169,25.3125
BK,2020-03-09T07:36:48.635624,22.0
AUX,2020-03-09T07:36:49.573136,27.6875
MT,2020-03-09T07:36:50.513464,24.9375
HLT,2020-03-09T07:36:51.472407,25.375
BK,2020-03-09T07:36:53.434622,22.0625
AUX,2020-03-09T07:36:54.353391,27.6875
MT,2020-03-09T07:36:55.314034,25.0
HLT,2020-03-09T07:36:56.280301,25.4375
BK,2020-03-09T07:36:58.237096,22.0
AUX,2020-03-09T07:36:59.151888,27.75
MT,2020-03-09T07:37:00.032199,25.0625
HLT,2020-03-09T07:37:00.995016,25.5
BK,2020-03-09T07:37:02.955449,22.0
AUX,2020-03-09T07:37:03.871991,27.8125
MT,2020-03-09T07:37:04.832230,25.125
HLT,2020-03-09T07:37:05.793503,25.5
BK,2020-03-09T07:37:07.755722,22.0
AUX,2020-03-09T07:37:08.692023,27.875
